id,subject,term,reference_gloss,hypothesis_gloss,similarity,glossed,correct
engpidginedu-00253,Government,defendants,people wey dem carry go court to answer mata,,0.0,False,False
engpidginedu-00253,Government,unlawfully,di law no fit conform to di law,,0.0,False,False
engpidginedu-00253,Government,ammunition,di projectiles wey dey fire from gunstation wey dey fire from gun,,0.0,False,False
engpidginedu-03931,Government,member,one person inside join-body,one person inside join-body,100.0,True,True
engpidginedu-03931,Government,industrial,dem dey relating to or result from industry,di act of beginning something new,11.25,True,False
engpidginedu-10751,English Language,instructors,teachers / lecturers / those wey dey give direction,teachers / lecturers / those wey dey give direction,100.0,True,True
engpidginedu-10751,English Language,clarification,di interpretation wey remove obstacles to understanding,,0.0,False,False
engpidginedu-10751,English Language,demands,"requests / wetin person say ""must"" happen",,0.0,False,False
engpidginedu-08372,Business study,capitalist,di conservative advocate of capitalism,,0.0,False,False
engpidginedu-08372,Business study,economy,how money dey run for country,how people follow deirselves / connections,15.26,True,False
engpidginedu-04496,Business study,disagree,I no gree / drag mata,,0.0,False,False
engpidginedu-04496,Business study,sovereign,oga kpatakpata / power to rule,,0.0,False,False
engpidginedu-06921,Business study,faith,di strong belief wey person get in somtin or person,di strong belief wey person get in somtin or person,100.0,True,True
engpidginedu-06921,Business study,dealing,business move / to follow person do trade,business move / to follow person do trade,100.0,True,True
engpidginedu-09876,Business study,unfair,wayo / no be so e suppose be / injustice,,0.0,False,False
engpidginedu-00251,Government,defendants,people wey dem carry go court to answer mata,people wey join body do business / paddy,24.73,True,False
engpidginedu-00251,Government,convicted,na wen court or jury find persin guilty of criminal charge,na wen court or jury find persin guilty of criminal charge,100.0,True,True
engpidginedu-00251,Government,violate,to break law / go against rule,to break law / go against rule,100.0,True,True
engpidginedu-01795,Government,imposes,to force rule or task for person head,,0.0,False,False
engpidginedu-07225,Business study,unscrupulous,"wey no get conscience, no dey fair, dey do wetin dem like",,0.0,False,False
engpidginedu-07225,Business study,contact,to touch / reach out to person / connection,to touch / reach out to person / connection,100.0,True,True
engpidginedu-07225,Business study,assets,all de beta tins and property wey person get,all de tins wey person eyes dey look / benefits,35.88,True,False
engpidginedu-01488,Government,owned,wetin person get for hand / property,wetin person tink say go happen,38.44,True,False
engpidginedu-10106,English Language,broader,more wide / general pass,,0.0,False,False
engpidginedu-10106,English Language,educational,di process of education dey relating to di process of education,,0.0,False,False
engpidginedu-10106,English Language,increasingly,E dey advancing for amount or intensity,,0.0,False,False
engpidginedu-19435,Computer science,format,how you arrange your words,how you arrange your words,100.0,True,True
engpidginedu-09281,Business study,endangered,di danger to,,0.0,False,False
engpidginedu-09281,Business study,banned,dem ban am / no entry,,0.0,False,False
engpidginedu-14087,Computer science,acronym,word wey dem use the first letters of many words form,,0.0,False,False
engpidginedu-14087,Computer science,precedence,di status wey establish for order of importance or urgency,,0.0,False,False
engpidginedu-11310,English Language,grammatical,di grammar of or pertaining to grammar of or pertaining to grammar,,0.0,False,False
engpidginedu-11310,English Language,errors,mistakes / faults,mistakes / faults,100.0,True,True
engpidginedu-03729,Government,disappearance,di act of leaving secretly or without explanation,,0.0,False,False
engpidginedu-03729,Government,vast,very big / plenty,,0.0,False,False
engpidginedu-03729,Government,entry,di thing wey dey inside,di thing wey dey inside,100.0,True,True
engpidginedu-07063,Business study,formation,how dem take arrange am / building stage,,0.0,False,False
engpidginedu-07063,Business study,allowing,to give chance / gree,,0.0,False,False
engpidginedu-07063,Business study,formed,bin make / bin arrange or build,,0.0,False,False
engpidginedu-08951,Business study,suit,na wen one persin carry anoda persin go court to seek justice,,0.0,False,False
engpidginedu-08951,Business study,injuries,wounds / damages to body or mind,wounds / damages to body or mind,100.0,True,True
engpidginedu-08951,Business study,injured,person wey get wound / damage property,,0.0,False,False
engpidginedu-13571,History,throughout,di first to last to last,di first to last to last,100.0,True,True
engpidginedu-25027,Biology,charged,dem don hold am for neck / accuse for kote,,0.0,False,False
engpidginedu-25027,Biology,molecules,"the smallest unit of a substance, wey get atoms joined together","the smallest unit of a substance, wey get atoms joined together",100.0,True,True
engpidginedu-25027,Biology,bind,tie / hold together,,0.0,False,False
engpidginedu-15914,Computer science,neutral,no-man's land / e no follow any side,no-man's land / e no follow any side,100.0,True,True
engpidginedu-15914,Computer science,evaluate,to check if something dey correct,,0.0,False,False
engpidginedu-15914,Computer science,biases,personal feelings wey dey affect person judgement,,0.0,False,False
engpidginedu-21690,Computer science,extreme,too much / over,,0.0,False,False
engpidginedu-21690,Computer science,alpha,de first / de leader / beginning,,0.0,False,False
engpidginedu-14519,Computer science,boolean,way of thinking wey only use yes or no,,0.0,False,False
engpidginedu-02673,Government,analyse,to look somtin wella to sabi am,,0.0,False,False
engpidginedu-02673,Government,manner,way / style / how person take do am,way / style / how person take do am,100.0,True,True
engpidginedu-01630,Government,preferred,dem like more,bin make / bin arrange or build,13.48,True,False
engpidginedu-25863,Biology,absorption,di process wey one substance permeates one,,0.0,False,False
engpidginedu-01723,Government,preserving,di cause to remain or last,di cause to remain or last,100.0,True,True
engpidginedu-01723,Government,quality,how de tin fine or strong reach,how de tin fine or strong reach,100.0,True,True
engpidginedu-01723,Government,asset,property / wetin person get,,0.0,False,False
engpidginedu-02783,Government,satisfied,bellefull / when condition don meet,bin change small-small / adjusted,12.98,True,False
engpidginedu-02783,Government,absence,di fact say something no dey,,0.0,False,False
engpidginedu-02783,Government,appropriately,di appropriate manner for di appropriate manner,,0.0,False,False
engpidginedu-18598,Computer science,files,folders / official papers / computer data,,0.0,False,False
engpidginedu-24879,Biology,lost,something wey miss / person wey no find im way,something wey miss / person wey no find im way,100.0,True,True
engpidginedu-23645,Computer science,comparison,di act of examining resemblances wey dey examinin resemblances,,0.0,False,False
engpidginedu-10211,English Language,possibility,something wey fit happen / chance dey,,0.0,False,False
engpidginedu-10211,English Language,author,person wey write de tin / originator,person wey write de tin / originator,100.0,True,True
engpidginedu-12125,Social studies,primarily,mostly / de main reason,mostly / de main reason,100.0,True,True
engpidginedu-05157,Business study,claiming,to talk say na you get am / bin assert,,0.0,False,False
engpidginedu-05157,Business study,acting,person wey dey hold office for small tayam / to play part,person wey dey hold office for small tayam / to play part,100.0,True,True
engpidginedu-11170,English Language,correspondingly,di corresponding manner wey dey corresponding manner for corresponding manner,,0.0,False,False
engpidginedu-11170,English Language,enrollment,di act of enrolling di act of enrolling,,0.0,False,False
engpidginedu-13757,History,belief,wetin person believe / faith,wetin person believe / faith,100.0,True,True
engpidginedu-07049,Business study,comparison,di act of examining resemblances wey dey examinin resemblances,di act of examining resemblances wey dey examinin resemblances,100.0,True,True
engpidginedu-17382,Computer science,annoying,e dey vex,e dey vex,100.0,True,True
engpidginedu-24448,Computer science,easier,no hard / simple,no hard / simple,100.0,True,True
engpidginedu-03006,Government,tried,bin try / test,,0.0,False,False
engpidginedu-03006,Government,prejudice,when you don judge something without knowing the full matter,,0.0,False,False
engpidginedu-24280,Computer science,versus,against / vs,,0.0,False,False
engpidginedu-04648,Business study,elected,bin choose through voting,bin choose through voting,100.0,True,True
engpidginedu-04648,Business study,vote,to choose leader / drop thumbprint,,0.0,False,False
engpidginedu-04648,Business study,calculated,di mathematical calculation or computation or computation,,0.0,False,False
engpidginedu-02280,Government,hill,ground wey go up but e no reach mountain,,0.0,False,False
engpidginedu-02280,Government,feet,leg / foundation,,0.0,False,False
engpidginedu-13132,Social studies,drastically,di drastic manner wey dey drastic manner for drastic manner,,0.0,False,False
engpidginedu-13132,Social studies,promote,to push something go front / ginger,to push something go front / ginger,100.0,True,True
engpidginedu-04694,Business study,legislature,de group wey dey make law for de land,de group wey dey make law for de land,100.0,True,True
engpidginedu-04694,Business study,administrative,for administration of or relating to or responsible for administration,,0.0,False,False
engpidginedu-04694,Business study,agencies,offices wey dey run business for people,offices wey dey run business for people,100.0,True,True
engpidginedu-05944,Business study,implications,wetin something fit cause or mean,wetin something fit cause or mean,100.0,True,True
engpidginedu-00200,Government,proposed,to suggest / plan wey dem bring out for discussion,to talk am with full chest / claim,10.62,True,False
engpidginedu-00200,Government,prevention,di act of preventing di act of preventing,,0.0,False,False
engpidginedu-00200,Government,promote,to push something go front / ginger,,0.0,False,False
engpidginedu-11135,English Language,texts,written words / messages,written words / messages,100.0,True,True
engpidginedu-11135,English Language,effectively,sharp sharp,,0.0,False,False
engpidginedu-10124,English Language,benefits,better-better tins wey person gain,better-better tins wey person gain,100.0,True,True
engpidginedu-10124,English Language,assigned,dem don give am de work / hand over task,dem don give am de work / hand over task,100.0,True,True
engpidginedu-24881,Biology,occurs,E dey happen / e dey show face,,0.0,False,False
engpidginedu-24881,Biology,absent,make person or somtin no de available somwhere,,0.0,False,False
engpidginedu-08763,Business study,patents,law pawa to own idea,,0.0,False,False
engpidginedu-08763,Business study,trademarks,company brand marks / signs,company brand marks / signs,100.0,True,True
engpidginedu-08763,Business study,protects,E dey cover person / e no allow wahala reach,,0.0,False,False
engpidginedu-22723,Computer science,description,di statement wey represent something for words wey represent something for words,di statement wey represent something for words wey represent something for words,100.0,True,True
engpidginedu-21555,Computer science,suppress,press am down / hide,,0.0,False,False
engpidginedu-19955,Computer science,annoying,e dey vex,e dey vex,100.0,True,True
engpidginedu-19955,Computer science,beginning,from di start,from di start,100.0,True,True
engpidginedu-19955,Computer science,mistake,error / skip / something wey person no do well,error / skip / something wey person no do well,100.0,True,True
engpidginedu-00860,Government,obscenity,dirty behavior or talk wey go against morals,dirty behavior or talk wey go against morals,100.0,True,True
engpidginedu-18243,Computer science,convenient,E dey suite to your comfort or purpose or needs,dey suite to your comfort or purpose or needs,97.73,True,True
engpidginedu-22117,Computer science,consequence,as e turn out,as e turn out,100.0,True,True
engpidginedu-22117,Computer science,usual,normal-normal / as e dey always be,,0.0,False,False
engpidginedu-22117,Computer science,answers,tori wey dem dey give for dis queshun,,0.0,False,False
engpidginedu-20372,Computer science,adopt,to carry pickin take as your own / follow a style,to carry pickin take as your own / follow a style,100.0,True,True
engpidginedu-09128,Business study,initial,de first one / start-start,,0.0,False,False
engpidginedu-03764,Government,scheme,plan / format / sometimes e be like wayo,plan / format / sometimes e be like wayo,100.0,True,True
engpidginedu-03764,Government,newspapers,di daily or weekly publication on folded sheets,di daily or weekly publication on folded sheets,100.0,True,True
engpidginedu-03764,Government,profession,di bodi of pipo wey dey learned occupation,,0.0,False,False
engpidginedu-12044,Social studies,successful,dem dey having succeeded or being marked by favorable outcome,dem dey having succeeded or being marked by favorable outcome,100.0,True,True
engpidginedu-12044,Social studies,difficulties,"di effort wey dey inconvenient, na effort wey dey inconvenient",,0.0,False,False
engpidginedu-11472,Social studies,entry,di thing wey dey inside,di thing wey dey inside,100.0,True,True
engpidginedu-03546,Government,interests,all de tins wey person eyes dey look / benefits,,0.0,False,False
engpidginedu-03546,Government,served,bin do de work / dem don give am kote paper,,0.0,False,False
engpidginedu-21519,Computer science,acceptable,dem worthy of acceptance or satisfactory,,0.0,False,False
engpidginedu-05070,Business study,southern,south side / part of map,south side / part of map,100.0,True,True
engpidginedu-05070,Business study,continued,bin move forward / e no stop,,0.0,False,False
engpidginedu-06971,Business study,statutes,laws wey dem write put for book,laws wey dem write put for book,100.0,True,True
engpidginedu-06971,Business study,respectively,di order wey dey given for di order wey dey give,,0.0,False,False
engpidginedu-06971,Business study,consumers,people wey buy and use market,people wey buy and use market,100.0,True,True
engpidginedu-25793,Biology,sues,E carry person go kote,,0.0,False,False
engpidginedu-11522,Social studies,navigate,find your way through something or control am,find your way through something or control am,100.0,True,True
engpidginedu-10238,English Language,namely,wey be,wey get true zero,22.93,True,False
engpidginedu-10238,English Language,significance,di quality of being significant,,0.0,False,False
engpidginedu-10238,English Language,forecasting,di statement wey dey make about di future,,0.0,False,False
engpidginedu-25361,Biology,decrease,make somtin de turn to small,figure 26. 9,4.13,True,False
engpidginedu-25361,Biology,manufacture,di organized action of making goods and services for sale for sale,,0.0,False,False
engpidginedu-24846,Biology,minutes,meeting-report / wetin-dem-talk-for-meeting / record,meeting-report / wetin-dem-talk-for-meeting / record,100.0,True,True
engpidginedu-01685,Government,opinions,wetin people tink / how judge see de mata,wetin people tink / how judge see de mata,100.0,True,True
engpidginedu-13858,Computer science,keywords,special words,,0.0,False,False
engpidginedu-21801,Computer science,intuitively,di intuitive manner wey dey intuitive manner for intuitive manner,,0.0,False,False
engpidginedu-21801,Computer science,observed,bin see / follow rule,,0.0,False,False
engpidginedu-13461,History,facilitate,E dey make easier,dey make easier,92.76,True,True
engpidginedu-13461,History,prayer,talk-talk with God / strong request for kote,,0.0,False,False
engpidginedu-04005,Government,controversies,"na disagreements or legal disputes between parties about rights, obligations, or facts",,0.0,False,False
engpidginedu-10801,English Language,weaknesses,di flaw or weak point or weak point,,0.0,False,False
engpidginedu-10801,English Language,attend,to go meeting / follow join,,0.0,False,False
engpidginedu-18402,Computer science,designed,bin arrange / build follow plan,bin arrange / build follow plan,100.0,True,True
engpidginedu-01965,Government,maximum,de highest level / e no fit pass dere,de smallest / e no fit go down pass dat level,41.97,True,False
engpidginedu-01965,Government,motivated,ginger / get reason,,0.0,False,False
engpidginedu-01965,Government,discriminatory,to partial / treat person bad because of who dem be,,0.0,False,False
engpidginedu-12210,Social studies,neither,no be one or di other,,0.0,False,False
engpidginedu-12210,Social studies,tracking,when dem dey watch and record wetin you dey do online,,0.0,False,False
engpidginedu-03164,Government,defamation,na false statement wey dey harm persin reputation or character,na false statement wey dey harm persin reputation or character,100.0,True,True
engpidginedu-14151,Computer science,precedence,di status wey establish for order of importance or urgency,,0.0,False,False
engpidginedu-14151,Computer science,governing,de way dem dey rule / how things dey run,dey control,6.94,True,False
engpidginedu-14151,Computer science,involving,something wey carry oda things follow,,0.0,False,False
engpidginedu-25004,Biology,compression,di increase for di density of something,,0.0,False,False
engpidginedu-25004,Biology,increased,E don big pass before / e climb,don big pass before / e climb,96.22,True,True
engpidginedu-25004,Biology,frequency,how many times something dey happen,,0.0,False,False
engpidginedu-02797,Government,presumably,probably,kpam-kpam / true-true / without doubt,6.51,True,False
engpidginedu-02797,Government,capacity,di highest wey somtin fit contain or do,di highest wey somtin fit contain or do,100.0,True,True
engpidginedu-02797,Government,trustee,person wey dem keep property for im hand to manage,,0.0,False,False
engpidginedu-25067,Biology,decrease,make somtin de turn to small,make somtin de turn to small,100.0,True,True
engpidginedu-02199,Government,sufficient,di quantity wey fit fulfill need or requirement but without being abundant,,0.0,False,False
engpidginedu-15540,Computer science,base,foundation / where tin start from,,0.0,False,False
engpidginedu-22505,Computer science,capacity,di highest wey somtin fit contain or do,di highest wey somtin fit contain or do,100.0,True,True
engpidginedu-05001,Business study,repeatedly,every time / again and again,every year / yearly,15.47,True,False
engpidginedu-08352,Business study,distinguish,to show de difference between two things,to show de difference between two things,100.0,True,True
engpidginedu-21794,Computer science,expected,wetin person tink say go happen,,0.0,False,False
engpidginedu-21794,Computer science,progress,movement / improvement,,0.0,False,False
engpidginedu-13984,Computer science,changes,adjustments / turns,,0.0,False,False
engpidginedu-23907,Computer science,irrelevant,na no bearing on or connection wit di subject at issue,na no bearing on or connection wit di subject at issue,100.0,True,True
engpidginedu-13631,History,settings,different environments / locations,where de mata happen / environment,37.18,True,False
engpidginedu-13065,Social studies,introduction,di act of beginning something new,di act of beginning something new,100.0,True,True
engpidginedu-14860,Computer science,dictionary,book or app wey dey explain word meanings,,0.0,False,False
engpidginedu-14860,Computer science,operation,one calculation,one calculation,100.0,True,True
engpidginedu-11106,English Language,professors,pipo wey dey teach for university,big-big judges for higher court,12.1,True,False
engpidginedu-11106,English Language,regularly,steady / every time,,0.0,False,False
engpidginedu-11106,English Language,presented,dem show am / dem bring am out,,0.0,False,False
engpidginedu-13559,History,infant,pikin wey neva fit talk or waka,,0.0,False,False
engpidginedu-14796,Computer science,existing,wetin dey ground now / active,wetin dey ground now / active,100.0,True,True
engpidginedu-14796,Computer science,item,single thing / article,single thing / article,100.0,True,True
engpidginedu-14092,Computer science,intend,plan to / mind set,plan to / mind set,100.0,True,True
engpidginedu-07045,Business study,frauds,different-different wayo moves,,0.0,False,False
engpidginedu-07045,Business study,parliament,di legislative assembly for certain kontri,,0.0,False,False
engpidginedu-23620,Computer science,excuse,to give reason for mistake / pardon,to give reason for mistake / pardon,100.0,True,True
engpidginedu-21329,Computer science,possibility,something wey fit happen / chance dey,something wey fit happen / chance dey,100.0,True,True
engpidginedu-21329,Computer science,reversed,to change de judgment / turn am back,to change de judgment / turn am back,100.0,True,True
engpidginedu-03749,Government,crucial,very important / pata-pata,,0.0,False,False
engpidginedu-03249,Government,conducted,bin do de work / bin manage de event,bin give chance / bin gree,17.97,True,False
engpidginedu-16565,Computer science,deliberate,we dey think about carefully,freedom / right to do wetin person like,12.48,True,False
engpidginedu-16565,Computer science,malicious,na when persin act with intention to hurt or injure anoda persin,,0.0,False,False
engpidginedu-09663,Business study,fire,di tin wey de show when somtin de burn,di tin wey de show when somtin de burn,100.0,True,True
engpidginedu-09663,Business study,moving,E dey waka / e dey shift,,0.0,False,False
engpidginedu-09663,Business study,headquarters,di office wey dey serve as di administrative center of enterprise,people wey dey stand for oda people / agents,19.04,True,False
engpidginedu-17385,Computer science,prominent,well-known or important,,0.0,False,False
engpidginedu-12481,Social studies,prevention,di act of preventing di act of preventing,,0.0,False,False
engpidginedu-12481,Social studies,relational,dem having relation or being related,,0.0,False,False
engpidginedu-12481,Social studies,commonly,normal-normal / wetin people dey do always,,0.0,False,False
engpidginedu-10655,English Language,failure,when tin no work out / disappointment,when tin no work out / disappointment,100.0,True,True
engpidginedu-17968,Computer science,preserve,keep am safe / maintain,keep am safe / maintain,100.0,True,True
engpidginedu-17968,Computer science,characteristics,di things wey make am,di things wey make am,100.0,True,True
engpidginedu-17968,Computer science,extreme,too much / over,,0.0,False,False
engpidginedu-19181,Computer science,couple,two / husband and wife,two / husband and wife,100.0,True,True
engpidginedu-20457,Computer science,frequentist,one wey like frequency way,,0.0,False,False
engpidginedu-20457,Computer science,bayesian,one kind of statistical method,one kind of statistical method,100.0,True,True
engpidginedu-04135,Government,held,wetin judge or court bin decide,,0.0,False,False
engpidginedu-04135,Government,pennsylvania,one of di original 13 colonies,,0.0,False,False
engpidginedu-10554,English Language,iteration,doing the same thing again and again,,0.0,False,False
engpidginedu-10554,English Language,developing,E dey processing a photosensitive material for order make image visible,,0.0,False,False
engpidginedu-10554,English Language,success,victory / when plan work well,,0.0,False,False
engpidginedu-02647,Government,deemed,as dem see am / dem count am as,,0.0,False,False
engpidginedu-02647,Government,contribution,di part played by a person for bring about a result,di thing wey dey inside,8.26,True,False
engpidginedu-02647,Government,collision,when two things hit each other and force dey involved,,0.0,False,False
engpidginedu-02408,Government,congressional,concern de law-makers / National Assembly mata,,0.0,False,False
engpidginedu-02408,Government,ground,di top of earth,di top of earth,100.0,True,True
engpidginedu-02408,Government,stolen,wetin thief carry / things wey loss by force,wetin thief carry / things wey loss by force,100.0,True,True
engpidginedu-03537,Government,preferences,choices / wetin person like pass,citation / to point to where info dey,14.0,True,False
engpidginedu-03537,Government,discriminate,na recognize or perceive di difference,,0.0,False,False
engpidginedu-22482,Computer science,format,how you arrange your words,how you arrange your words,100.0,True,True
engpidginedu-22482,Computer science,tutor,private teacher / coach,,0.0,False,False
engpidginedu-13968,Computer science,grammar,di rules for language,,0.0,False,False
engpidginedu-13160,Social studies,reunification,when family members wey been separated finally come back together,when family members wey been separated finally come back together,100.0,True,True
engpidginedu-15695,Computer science,multiplication,times,,0.0,False,False
engpidginedu-01993,Government,brief,small talk / summary wey lawyer write,small talk / summary wey lawyer write,100.0,True,True
engpidginedu-01020,Government,merely,just / only dat one,just / ordinary,32.03,True,False
engpidginedu-01020,Government,crowd,many pipu wey stay for on place,,0.0,False,False
engpidginedu-21080,Computer science,caused,wetin make de tin happen,wetin make de tin happen,100.0,True,True
engpidginedu-09883,Business study,crowd,many pipu wey stay for on place,many pipu wey stay for on place,100.0,True,True
engpidginedu-09883,Business study,employee,person wey de work for office and e de collect moni,person wey de work for office and e de collect moni,100.0,True,True
engpidginedu-09883,Business study,advancement,di encouragement of di progress or growth or acceptance of something,,0.0,False,False
engpidginedu-17086,Computer science,double,one kind of number,one kind of number,100.0,True,True
engpidginedu-17086,Computer science,copy,photocopy / duplicate,,0.0,False,False
engpidginedu-21590,Computer science,possibility,something wey fit happen / chance dey,something wey fit happen / chance dey,100.0,True,True
engpidginedu-01420,Government,communication,di activity of communicating,di activity of communicating,100.0,True,True
engpidginedu-01420,Government,draft,na written order to bank or persin to pay specified money,,0.0,False,False
engpidginedu-16509,Computer science,definition,di meaning,,0.0,False,False
engpidginedu-14811,Computer science,dictionary,book or app wey dey explain word meanings,book or app wey dey explain word meanings,100.0,True,True
engpidginedu-03573,Government,punitive,na damages wey pass compensation to punish wrongdoer and stop future harm,na damages wey pass compensation to punish wrongdoer and stop future harm,100.0,True,True
engpidginedu-19453,Computer science,transformation,di change wey e take,,0.0,False,False
engpidginedu-14689,Computer science,distinguish,to show de difference between two things,to show de difference between two things,100.0,True,True
engpidginedu-14689,Computer science,modify,change am small,,0.0,False,False
engpidginedu-14689,Computer science,lists,groups of things,,0.0,False,False
engpidginedu-15605,Computer science,java,programming language wey de common wey dem de use take build applications,,0.0,False,False
engpidginedu-15605,Computer science,introduced,di cause to kom know personally,dem don give am de work / hand over task,12.39,True,False
engpidginedu-02082,Government,justices,big-big judges for higher court,big-big judges for higher court,100.0,True,True
engpidginedu-02082,Government,unlike,no be like,,0.0,False,False
engpidginedu-02082,Government,ordinance,local government law / official order,,0.0,False,False
engpidginedu-03724,Government,vast,very big / plenty,,0.0,False,False
engpidginedu-03724,Government,changes,adjustments / turns,,0.0,False,False
engpidginedu-03724,Government,people,pipu / crowd / everybody,,0.0,False,False
engpidginedu-13794,Computer science,changes,adjustments / turns,,0.0,False,False
engpidginedu-13794,Computer science,informatics,"di sciences concerned wit gathering, manipulating, storing, retrieving, and classifying recorded information",,0.0,False,False
engpidginedu-24304,Computer science,hypotheses,di proposal wey dey suppose explain certain facts or observations,di proposal wey dey suppose explain certain facts or observations,100.0,True,True
engpidginedu-24304,Computer science,ahead,to de in front of somtin or person,,0.0,False,False
engpidginedu-01717,Government,speaker,person wey dey talk / megaphone,,0.0,False,False
engpidginedu-08695,Business study,settled,bin settle / no more wahala,bin settle / no more wahala,100.0,True,True
engpidginedu-05709,Business study,organisation,one big group,,0.0,False,False
engpidginedu-05709,Business study,defraud,to do wayo for money,,0.0,False,False
engpidginedu-05709,Business study,investors,people wey dey put money for business to gain,,0.0,False,False
engpidginedu-00517,Government,largely,mostly / for de most part,mostly / de main reason,33.88,True,False
engpidginedu-00517,Government,relied,bin put mind for dere / trust,,0.0,False,False
engpidginedu-10609,English Language,concerned,to dey worried,to dey worried,100.0,True,True
engpidginedu-10609,English Language,exclude,to remove,to remove,100.0,True,True
engpidginedu-10609,English Language,successful,dem dey having succeeded or being marked by favorable outcome,,0.0,False,False
engpidginedu-07796,Business study,warning,notice / alarm,notice / alarm,100.0,True,True
engpidginedu-07796,Business study,consumers,people wey buy and use market,,0.0,False,False
engpidginedu-11738,Social studies,nations,obodo / different-different countries,obodo / different-different countries,100.0,True,True
engpidginedu-11738,Social studies,domain,area / website address,area / website address,100.0,True,True
engpidginedu-00486,Government,justification,reason why dem do wetin dem do,reason why dem do wetin dem do,100.0,True,True
engpidginedu-00486,Government,denying,"to say ""No"" / reject",,0.0,False,False
engpidginedu-00486,Government,acting,person wey dey hold office for small tayam / to play part,,0.0,False,False
engpidginedu-00844,Government,commit,to do bad tin / to promise to do work,to do bad tin / to promise to do work,100.0,True,True
engpidginedu-21661,Computer science,substantive,mata wey get weight / real issue for law,mata wey get weight / real issue for law,100.0,True,True
engpidginedu-05717,Business study,begins,E dey start / e take off,,0.0,False,False
engpidginedu-08213,Business study,describes,to talk about,,0.0,False,False
engpidginedu-08213,Business study,owners,people wey get de property / landlords,,0.0,False,False
engpidginedu-24698,Biology,thinking,to reason / deep thought,to reason / deep thought,100.0,True,True
engpidginedu-04259,Government,pejorative,dem express disapproval,,0.0,False,False
engpidginedu-04259,Government,outrageous,E dey grossly offensive to decency or morality,,0.0,False,False
engpidginedu-04259,Government,supply,to provide market / give wetin people need,to provide market / give wetin people need,100.0,True,True
engpidginedu-04741,Business study,recognition,to sabi person / award,to sabi person / award,100.0,True,True
engpidginedu-04741,Business study,govern,dey control,dey control,100.0,True,True
engpidginedu-04741,Business study,provides,to provide,,0.0,False,False
engpidginedu-09085,Business study,punishment,di act of punishing di act of punishing di act of punishing,di act of punishing di act of punishing di act of punishing,100.0,True,True
engpidginedu-00092,Government,qualification,na skill or requirement wey persin must get to hold office,court cases / dragging for kote,9.2,True,False
engpidginedu-00092,Government,iccpr,international agreement wey protect civil and political rights of people across countries,,0.0,False,False
engpidginedu-00092,Government,mandate,official order or authority wey somebody receive to do a particular thing,,0.0,False,False
engpidginedu-07634,Business study,foreseeable,something wey person fit sabi say e go happen,,0.0,False,False
engpidginedu-07634,Business study,risks,danger / chances of wahala or loss,,0.0,False,False
engpidginedu-07076,Business study,constitute,to be,to be,100.0,True,True
engpidginedu-06788,Business study,forth,to come out / move forward,,0.0,False,False
engpidginedu-06788,Business study,reasonably,normal way / de way person wey get sense suppose act,normal way / de way person wey get sense suppose act,100.0,True,True
engpidginedu-25411,Biology,electrical,E dey relating to or concerned wit electricity,,0.0,False,False
engpidginedu-06724,Business study,freely,free-free / anyhow,,0.0,False,False
engpidginedu-06724,Business study,voters,people wey dey thumbprint for election,choose leader / drop thumbprint,33.83,True,False
engpidginedu-06724,Business study,advertisements,many promos / adverts for market,,0.0,False,False
engpidginedu-04126,Government,entitled,to get right to something / e gats reach your hand,to get right to something / e gats reach your hand,100.0,True,True
engpidginedu-04126,Government,subtitle,di small name under,,0.0,False,False
engpidginedu-04126,Government,gives,to dash / drop / provide,,0.0,False,False
engpidginedu-07981,Business study,indeed,true-true / na so / for real,,0.0,False,False
engpidginedu-07981,Business study,purchase,to buy market / transaction,to buy market / transaction,100.0,True,True
engpidginedu-07981,Business study,acquiring,getting / collecting,,0.0,False,False
engpidginedu-10928,English Language,annotating,di act of adding notes,,0.0,False,False
engpidginedu-10928,English Language,mention,to talk about am small,,0.0,False,False
engpidginedu-25911,Biology,dire,na urgent or serious situation wey court suppose act fast on am,,0.0,False,False
engpidginedu-00699,Government,validity,how true something be,,0.0,False,False
engpidginedu-00699,Government,distinction,di difference,di difference,100.0,True,True
engpidginedu-00699,Government,tool,tinwey or ogbe wey dem dey use do sometin or wok,tinwey or ogbe wey dem dey use do sometin or wok,100.0,True,True
engpidginedu-21027,Computer science,decrease,make somtin de turn to small,make somtin de turn to small,100.0,True,True
engpidginedu-25306,Biology,decreasing,"di decrease for size, extent, or range",,0.0,False,False
engpidginedu-25306,Biology,filtration,di process wey fluid pass through filter or filtering medium,,0.0,False,False
engpidginedu-25306,Biology,formation,how dem take arrange am / building stage,,0.0,False,False
engpidginedu-04002,Government,purposeful,di existence of a purpose or goal or goal,,0.0,False,False
engpidginedu-04002,Government,instances,examples / cases / times wey tin happen,one example of somtin,22.31,True,False
engpidginedu-04002,Government,rare,no dey plenti,,0.0,False,False
engpidginedu-06219,Business study,appeals,to carry mata go higher court because you no gree,,0.0,False,False
engpidginedu-06219,Business study,sexual,mata wey concern body-to-body,,0.0,False,False
engpidginedu-06219,Business study,brought,bin carry come / fetch,bin carry come / fetch,100.0,True,True
engpidginedu-09040,Business study,rise,to go up / increase,to go up / increase,100.0,True,True
engpidginedu-13046,Social studies,professionals,sabi people / experts,sabi people / experts,100.0,True,True
engpidginedu-13046,Social studies,challenges,di demanding or stimulating situation a demanding or stimulating situation,di demanding or stimulating situation a demanding or stimulating situation a demanding or stimulating situation,90.71,True,True
