Technical_terms,Literal meaning,pidgin meaning
czechoslovak,a native or inhabitant of the former republic of Czechoslovakia,Na native or inhabitant of di former republic of Czechoslovakia
d = (x̄ − μ₀) / σ̂,the formula,di math way
d‑function,density function,di way for height
d‑value,the effect size number,di d number
DACA,Deferred Action for Childhood Arrivals — US policy protecting undocumented immigrants who arrived as children,US policy wey protect undocumented people wey come to US as children from being deported
dad,An informal word for father.,Person papa.
daily,Happening or done every day.,Make somtin de sup every day.
daily,Every day.,Every day
daily newspaper,a newspaper that is published every day,akwukwo tori wey dem dey publish every day
dairy,"Products made from milk, like cheese, butter, or yogurt.",Tins wey dem make from milk.
damage,Physical harm that reduces the value or function of something.,To skata somtin make e no good again.
damage,"Physical harm caused to something in such a way as to impair its value, usefulness, or normal function.",Spoil / wound / something wey don scatter
damaged,Inflicted physical harm on.,Spoil / wound
damages,Money a court orders one party to pay another to compensate for loss or injury caused by a legal wrong.,na money wey court order one persin pay anoda persin for wetin dem do wrong
damages,A sum of money claimed or awarded in compensation for loss.,Money wey person gats pay because e spoil tin
dancing,Moving rhythmically to music.,Dancing / shaku shaku
danger,The possibility of suffering harm or injury.,Wahala / something wey fit spoil person life
dangerous,Able or likely to cause harm or injury.,Something wey get wahala / e fit cause damage
dangers,Possibilities of suffering harm or injury.,Risks / wahala
dangling node,"a node that is not properly connected or is left isolated at the end of a line, often due to overshoots or undershoots","katakata point wey no dey connect well or wey dey alone for end of line, sake of say overshot or undershot happen"
dashboard,A visual display showing key information at a glance.,Somtin wey de show many informate.
dashed line,a line of small dashes,line wey dey break
data,information,di data
data,facts and statistics collected together for reference or analysis,"tori wey dem gather put for one place, make dem fit use am analyze or check am well well"
data,facts and statistics collected together for reference or analysis,"tori wey dem gather put for one place, wey dem go use check or analyze"
Data,Facts and statistics collected together for reference or analysis,"Torii wey dem gather, wey dem dey use analyze and take decision"
data,facts and statistics collected together for reference or analysis,"tori wey dem gather, either from projek wey don pass or from bros and sista dem, and we fit use am save time and waka"
data,facts and statistics collected together for reference or analysis,figure and tori wey dem gather put together for make reference or analysis
Data,Facts and statistics collected together for reference or analysis,"Torri wey dem gather put for one place, make dem fit use am analyze or take reference"
data,facts and statistics collected together for reference or analysis,"tori wey dem gather put for one place, make dem fit use am analyze or take reference"
data,Facts and information collected for reference or analysis.,Informate wey dem get for analysis.
data,Facts and statistics collected together for reference or analysis.,Information / figures for system
Data,facts or figures used for analysis or reference,numbers or facts wey dem use to explain something
data analysis,the process of examining and interpreting data,to analyze numbers
data analysis,the process of examining data,to analyze data
data analysis,examining data,to study numbers
data analysis starts involving,examination begins including,numbers work dey begin to use
data brokers,"companies that collect, store, and sell information about individuals or organizations, often to help other businesses make informed decisions","kampani wey dey gather, save, and sell tori about pipo or oganization, many time to help odas kampani take sabi decision"
Data brokers,"Companies or individuals that collect, store, and sell information about people, such as their personal details, behavior, and preferences, often without their knowledge or consent","Pipo wey dey collect, keep, and sell tori about oda pipo, like dem name, address, wetin dem like, and how dem dey behave, even if dem no sabi or no gree"
Data Classification,The process of organizing data into categories or groups based on their characteristics or properties,Proses wey dey arrange data put for different groups or kategori based on wetin dem be or how dem take be
data frame,a table in R,one kind of table
data frames,tabular data structures,one kind of table
data frames,tables,tables
data generating mechanism,the source of information,how di numbers dey come
Data Journalism,"The practice of using numerical data and statistical analysis to gather, organize, and present news and information in a journalistic context","Di way dem dey use figure and ananlysis to gather, organize, and show tori and informate for news, wey dem dey call data tori"
data manipulation with r,a book title,one book name
data mining,extracting patterns from data,to find patterns for data
data mining,the process of looking for patterns and relationships in large data sets,de process wey dem dey use find pattern and kontri for inside boku data wey dem gather
data mining,"the process of automatically discovering patterns and relationships in large datasets, often using complex algorithms and statistical techniques","dey use machine take find pattern and connection for plenty data wey dem gather, dem dey use am do analysis and know wetin dey happen"
Data Mining,"The process of automatically discovering patterns and relationships in large datasets, using various statistical and mathematical techniques to extract valuable information or knowledge","Di way dem dey use machine take find pattern and connection for inside boku data, dey use am find beta tori wey go help dem make better decision"
data regression,method of modeling relationships between variables, way of showing how different things connect to each other
data sampling,selecting a subset of data for analysis, picking a smaller portion of data to work with
Data Science,"A field of study that extracts knowledge and insights from data using various techniques, such as machine learning, statistics, and programming","Data science na wetin be say dey use plenty method, like machine learning, statistics, and coding, to take informate from data, make we sabi wetin dey happen"
data science,"the field of study that combines statistics, computer science, and domain-specific knowledge to extract insights and patterns from data","dat science na wetin dey involve say dem dey use maths, kompyuta, and know-how from different areas take find out things and patterns wey dey hide for data, make dem fit use am take beta inform decision"
Data Science,"A field of study that uses scientific methods, processes, and systems to extract knowledge and insights from structured and unstructured data, often to inform decision-making or solve complex problems","Data science na one kind field wey dey use science method, process, and system take komot knowledge and insight from data wey dey structured and wey no dey structured, many time dem dey use am inform decision wey go help solve complex problem, sabi?"
Data Science,"A field of study that uses scientific methods, processes, and systems to extract knowledge and insights from structured and unstructured data","Data science na one branch of study wey dey use science method, process, and system take komot knowledge and insight from data wey don dey arrange and data wey no dey arrange, like say na for find am for plenty plenty information"
data set,"a collection of related data, typically organized in a way that allows for analysis or processing","kolekshun of informate wey dey relate, wey dem arrange well well, make e easy to analyze or process am"
data set,collection of related data values, group of related numbers or data wey belong together
data specialists,"experts who have the skills and knowledge to collect, organize, and analyze information, especially in a computer system","pipo wey sabi handle informate, organize am, and use am give tori, especially for komputa sistem"
data table,"a collection of data organized in a structured format, typically with rows and columns, used for analysis, reference, or calculation","one kind table wey dey arrange data well well, with row and column, wey person dey use am analyze, check or calculate things"
data types,"categories or classifications of data based on their format, structure, or usage, such as integer, string, or date","kain-kain data wey dey exist, like numba, word, or date, wey dem dey use classify information for komputa"
Data Visualization,The process of creating graphical representations of information to better understand and communicate complex data,"Di way dem dey take show informate wit picture or graph, so people go fit sabi wetin dey happen, and dem go understand am well well, no be just to dey talk or write am, make dem see am wit dia eye"
data visualization,the process of creating graphical representations of information to better understand and interpret it,"di way dem dey take show informate wit graphik an picture, make person fit sabi an undastand am beta"
Data Warehouse,"A large store of data accumulated from a wide range of sources used to guide business decisions, containing a copy of data from various operational databases","Data warehouse na one kind place wey dey store boku information wey come from different places wey company dey use for dem daily activities, e dey carry data from other database wey dey active, make dem update am regularly, so dem go fit take better decision"
Data Warehouse,"A large storage repository that holds data from various sources in one place, making it easier to access and analyze","One big place wey dey store data from different areas, make am easy to reach and torchlight"
data warehouse,"a central location that stores data from multiple sources, making it easier to access and analyze","one place wey dey keep all tori from different sides, make am easy to reach and sabi wetin dey happen"
database,organized collection of data.,Database na plenti and orishirishi information wey dem arrange well well.
database,"a systematically organized collection of data, where all data is described and associated with other data","datibase na him be like one ogbonge wey dem gather data put, where dem dey describe and join am with anoda data, make e easy to sabi and use"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,kompia of informate wey dey store for one ples wey make e easy to komot and use am as dem like
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"kompia of informate wey dem store wel wel, make e dey easy to komot or chenj am as dem like"
Database,A collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"Datibase na him be like one store wey dem keep informate, wey dem organize am well well, so dem fit easy easy take informate comot or change am as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,kompia datamanegment sistem wey dey store and organize informate in way wey dem dey fit retrieve am easily
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"kompia of ogbonge data wey dem store wel wel, make e dey easy to komot or change as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"one kind place wey dem dey keep tori wey dem don arrange well well, so dem fit easily take am out or change am as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"one kind place wey dem dey keep informate, wey dem organize am well well, so dem fit easy easy take am out or change am as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"one kind place wey dem dey keep tori wey dem arrange well, make e easy to take out or change as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"one kind place wey dem dey keep tori wey don dey arrange well well, make e easy to find and use am as dem like"
database,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"datibase na him be like store wey dem keep informate inside, make e dey easy to take out or change as dem like"
database,A structured collection of data stored and accessed electronically,A computer system wey store and organise large amounts of information
database,An organized collection of stored data accessed electronically.,Informate wey dem arrange well well for somtin wey de use light.
Database,a structured collection of data stored and organized for easy access,place wey dem arrange data well well make e easy to find
database models,"conceptual representations of how data is organized and structured in a database, including different approaches and architectures","di way dem dey arrange and keep data for computer, including flat, hierarchical, network, and relational models, wey be like different plans dem dey use keep informate for inside komputa"
database package,"a collection of computer programs used to store, manage, and retrieve data in an organized way","kolekshun of kompyuta softwea wey dey help store, manage, and bring out informate in orda way, wey be like akara wey dey inside basket, makam dem dey easy to find and use"
databases,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,kolekshon of oganized data wey dem store in one ples wey make am easy to komot and chenge-chenge
databases,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,kolekshon of oganized data wey dem store for one ples where dem fit retrieve am easily
databases,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"kompia of ogbonge data wey dem store wel wel, make e dey easy to komot and use as dem like"
databases,a collection of organized data that is stored in a way that allows for efficient retrieval and manipulation,"kompia of ogbonge data wey dem store wel wel, make e dey easy to komot or change as dem like"
dataframe,"a two-dimensional table of data with rows and columns, used in computer science and statistics for data manipulation and analysis","one kind table wey dey show data, e get row and column, we dey use am for kompyuta and statistics to sabi and analyze data well well"
DataFrame,"A two-dimensional table of data with rows and columns, used in computer science and statistics for storing and manipulating data","Dat table wey get row and column, wey dem dey use for kompyuta and sayensi, to store and change data"
dataframes,"a two-dimensional table of data with rows and columns, used for storing and manipulating data in computer science and statistics","datatable wey dey show figures and numbers for row and column, wey dem dey use for kompyuta sayens and statistics"
dataset,"A collection of data, typically in a structured format, used for analysis, reporting, or other processing","Kolekshon of data wey dem arrange well well, wey dem dey use analyze, report or do anoda tin"
dataset,"a collection of data, especially in a structured and organized form, used for analysis or processing","one set of informate wey dem gather, arrange well well, so dem fit use am do analysis or process am"
dataset,"a collection of data, especially in a structured and organized form, used for analysis or processing","kolekshon of data wey dem arrange well well, wey dem dey use for analysis or processing, like set of informate wey dem gather for one place"
dataset,"a collection of organized data, typically in a electronic format, that can be analyzed and used to gain insights or make decisions","kolekshon of informate wey dey orda, wey dem save for kompyuta, wey pesin fit use yan or take decisiÃ³n"
dataset,A structured collection of related data used for analysis.,Informate wey dem arrange well well for analysis.
datasets,"a collection of data, often in a structured format, used for analysis or research","kolekshon of data wey dem gather, e dey inside one format wey dey easy to use, dem dey use am for analysis or risrch"
datasets,"a collection of data, especially in a structured and organized form, used for analysis or processing","kolekshon of data wey dem arrange well well, wey dem dey use analyze or process am"
datavisualizations,"the use of images, charts, and graphs to represent and communicate data or information in a clear and understandable way","di way dem dey use picture, chart, and graph take show and explain data or tori, make am easy to sabi and understand"
date,a calendar day,the date
date,A specific day in time; also a romantic meeting.,One particular day; e also mean wen lovas meet.
date,The day of the month or year as specified by a number.,Calendar day / tayam
dates back to a time,comes from an era,e come from time
dates usually get imported as text,calendar values become words,days dey usually come as words
datum,"a datum is a reference point or a set of parameters that defines the orientation and origins of a coordinate system, such as lines of latitude and longitude, relative to the center of the earth or a spheroid","datom be somtin wey dey serve as refa point, e dey specify exactly how line of latitude and longitude take dey align wit di center of di earth or spheroid, e be like say e dey give us di correct posishon and orientashon of everytin"
day,a 24‑hour period,di day
day,A period of twenty-four hours.,One full day / morning till night
days,Plural of day; periods of 24 hours.,Many many days / calendar tayam
DCS (Distributed Control System) ,A computer system that controls processes in a plant, computer wey dey run and control factory processes
de-professionalization,"the process of losing the characteristics, skills, or standards of a profession, especially due to changes in the way work is done or the people doing it","how dem take dey lose him professional way, skill or standard for him work, especially as dem change how dem dey do am or who dem dey use do am"
dead time,time delay before a system begins responding, the waiting time before a system start to react
deadbeats,"customers who pay off their credit card balance in full each month, thus not generating interest income for the credit card company","kustomer wey dey pay full moni for dem account every month, no dey owe again, dem no dey bring income for credit card company through interest"
deadline,a time limit or a scheduled time by which something must be done or completed,"kata kata time wey dem dey expect say you go finish work, no be say you go dey delay, e fit be say dem give you time wey you no fit pass, or dem tell you say make you do am as you hear, no waste time"
deaf,"Unable to hear, partially or completely.",Make person no fit hear word small small or at all at all.
deal,"to manage or handle a situation, especially a difficult one, in a satisfactory way","go manage am somehow, mak we see wetin go happen"
deal,An agreement or arrangement made between two parties.,Make two person gree.
deal,An agreement entered into by two or more parties for their mutual benefit.,Business arrangement / cut / agreement
dealer,A person or business that buys and sells goods or securities in regular commercial transactions.,na persin or business wey dey buy and sell goods or securities for regular commerce
dealer,A person or business that buys and sells goods.,Person wey dey trade / supplier
dealers,People or businesses that buy and sell goods.,Business people / sellers
dealing,Taking part in commercial trading; associating with someone.,Business move / to follow person do trade
dealing with,handling,to work with
dealings,"Transactions or interactions between parties involving the exchange of goods, services, or information.","na business wey people dey do together, dem exchange goods, service, or information"
deals,Agreements entered into by two or more parties for their mutual benefit.,Business / agreements / levels
dean,A senior official in a university or school.,One of di ogas wey de University.
death,"The permanent end of all bodily functions of a person, which terminates their legal rights and obligations.","na wen persin done die, body function all stop, legal rights and obligation all done finish"
death,The action or fact of dying or being killed.,Kpeme / when person die
death rate,"The number of deaths per 1,000 people in a given year","Di number of people wey die per 1,000 people in a country in one year"
debate,A formal discussion where opposing sides argue their views.,Fomal talk where two pipu dey talk against each oda.
debate,A formal discussion on a particular topic in a public meeting.,Argument where people show deir different sides
debentures,"the ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future","Di ability of customer to obtain goods or services before payment, based on di trust wey payment go make for di future."
debilitating,weakening or causing harm to strength,Debilitating na something wey don dey spoil.
debt,A legal obligation to pay money owed to another person or entity.,na money wey persin suppose pay to anoda persin or entity
debt,Money owed to another person or organization.,Moni wey person de owe anoda person or work.
debt,"Something, typically money, that is owed or due.",Gbese / money wey person dey owe
debtor,A person or entity that owes money or has a legal obligation to pay to another.,na persin or entity wey dey owe money to anoda persin
debtor,A person or institution that owes a sum of money.,Person wey dey owe money
debtors,People who owe money.,People wey dey owe
debts,"Plural of debt; something, typically money, that is owed or due.",All de credit wey person gats pay back
debug,process of identifying and fixing errors in code, the work of finding and fixing mistakes in a program
debugged,"to detect, locate, and fix errors or bugs in a computer program or system","to komot mistake or bug wey dey inside kompyuta program or sistem, make am work well"
debunk,"to prove that something is false or untrue, especially by showing that it is based on false or misleading information","to comot shame from tori wey no be truth, by show say e dey based on lies or informate wey no correct"
debunkings,the exposure of falseness or pretensions,Di exposure of falseness or pretensions of falseness or pretensions
decade,a period of ten years,"ten years wey don pass, like one jaguda wey don tey for one place"
decade,A period of ten years.,Ten years.
decay,The gradual breakdown or rotting of something over time.,Make somtin de spoil small small.
december,The twelfth month of the year.,December / last month of de year
decentralization,the social process in which population and industry moves from urban centers to outlying districts,Di social process wey population and industry move from urban centers to outlying districts
Decentralized,"The process of distributing or dispersing functions, control, or power away from a central authority or location, often to multiple smaller units or individuals, to increase efficiency, accessibility, and participation","Dem go scatter power, no be one place dey hold am again, na many people dey share am now, so everybody go get chance to do wetin dem wan do, no be only one person or group dey control everything"
deceptive,Giving an appearance or impression different from the true one.,Wayo / to trick person
decide,Come to a resolution in the mind as a result of consideration.,To choose / to finalise mata
decided,Having clear opinions or being resolute.,Don conclude / make up mind
decides,Come to a resolution in the mind as a result of consideration.,To choose / judge to give final talk
deciding,Coming to a resolution.,To choose / finalize decision
decipherable,easily deciphered,Easily deciphered
decision,a choice,wetin you choose
decision,A conclusion or resolution reached after consideration.,Final talk / wetin person choose to do
Decision making,"The process of selecting the best course of action from available options, based on evaluation of relevant information and criteria","Di proses to chuze di best tin to do, as dem don gada tori and sabi wetin dey suppose do, den dem go yuz am take decide"
Decision Tree,"A graphical representation of a decision-making process, where a tree-like model is used to classify data or make predictions based on input features","Di way dem take dey show how person go take make decision, be like one tree wey dem draw, wey dey help person sabi which way make sense, based on wetin dem see for di data wey dem get"
decision-making authority,"the power or right to make final choices or judgments, especially in an organization or government","bodi wey get power to take final decision, or wetin dem go do, especially for organization or goment"
decision-making process,"a series of actions or steps taken to reach a conclusion or judgment, especially in a formal or official context","wetin dem dey take make dem reach conclusion or judgment, especially for formal or ofishal mata"
decisions,Conclusions or resolutions reached after consideration.,Final conclusions / choices
decisis,A legal principle that requires courts to follow precedent and stand by prior court decisions.,na legal principle wey court suppose follow old court decision wey dem don do before
deck,A flat floor area; also a set of cards.,Flat floor; e also mean pack of card.
declaration,a statement that is emphatic and explicit (spoken or written),Di statement wey dey emphatic and explicit (spoken or written)
declaration,A formal or explicit statement or announcement.,Announcement / official talk
declarative,a mood (grammatically unmarked) that represents the act or state as an objective fact,Di mood (grammatically unmarked) wey represent di act or state as objective fact fact
declaratory,"Relating to a court order that states the rights, status, or legal position of the parties without ordering an action.","na court order wey dey state di rights and legal position of persin dem, no order action"
declare,Say something in a solemn and emphatic manner.,To talk am out / announce
declared,Formally or explicitly stated that one is something or feels something.,Bin talk am clear / dem don announce am
decline,gradual decrease or reduction,Decline na to dey commot small small.
declined,"Became smaller, fewer, or less; decreased.",E reduce / dem no gree
decolourise,remove color from,Di color wey dey remove
decomposable,capable of being partitioned,Di capable of being partitioned
decomposed,separate (substances) into constituent elements or parts,Dem separate (substances) into constituent elements or parts or parts
decomposition,the analysis of a vector field,Di analysis of a vector field field
decomposition,breakdown of a substance into simpler components," when something break down into smaller, simpler parts"
decompressor,A device that reduces pressure in a system., equipment wey dey bring down pressure
decorations,something used to beautify,E dey use to beautify something wey dey use to beautify
decorative,serving an esthetic rather than a useful purpose,E dey serving esthetic rather than useful purpose
decoupling,"the act of separating or disconnecting something from something else, especially in order to make it more flexible or independent","to comot something from anoda thing, make dem no dey tie again, so dat one fit change or move as e like"
decrease,To become smaller or fewer in number or amount.,Make somtin de turn to small.
decreasing,"decrease in size, extent, or range","Di decrease for size, extent, or range"
decree,A court order or edict that has the force of law.,na court order wey get force of law
decree,An official order issued by a legal authority.,Law order / command
Decrypted,"To convert encrypted data back into its original, understandable form, making the information accessible without the need for a decryption key or password","To yank comot code wey dem use hide informate, make am come back to im original shape, wey everybody fit sabi wetin dey happen"
dedicated to action research,focused on that method,wey dey for action research
deductions,a reduction in the gross amount on which a tax is calculated; reduces taxes by the percentage fixed for the taxpayer's income bracket,A reduction for di gross amount wey tax dey calculated; reduce taxes by di percentage fixed for di taxpayer's income bracket; reduce taxes by di percentage fixed for di taxpayer's income bracket; reduce taxes by di percentage fixed for di taxpayer's income bracket; reduce taxes by di percentage fixed for di taxpayer's income bracket; reduce taxes by di percentage fixed for di taxpayer's income bracket; reduce taxes by di 
deed,A signed legal document that transfers ownership of real property from one person to another.,na signed document wey dey transfer ownership of land or property from one persin to anoda persin
deed,"A legal document that is signed and delivered, especially one regarding ownership.",Agreement paper for land or house / action
deemed,Regarded or considered in a specified way.,As dem see am / dem count am as
Deep Packet Inspection,"A technique used by network devices to examine the contents of internet traffic packets, beyond just the header information, to detect and prevent malicious activity or unwanted content","Dem dey use one kind tech wey dem dey call deep packet inspection, wey dem dey use am check well well wetin dey inside internet traffic packet, no be only header dem dey check, dem dey check everything to stop bad thing or thing wey no good"
deeper meaning,more profound significance,di real reason
Deepfakes,manipulated media created using AI or editing tools, fake video or picture wey dem create with AI or editing
deeply wedded,strongly attached,to like well-well
defamation,A false spoken or written statement that harms a person's reputation or character.,na false statement wey dey harm persin reputation or character
Defamation,The act of making false statements that harm someone's reputation,"Yab dem wey go spoil person name, mean say you dey talk bad tin wey no be true about person, wey go damage dem reputation"
Defamation,"The act of making a false statement about someone, which damages their reputation","Yab dem, wey dem no go fit defend demself, dey spoil person name, make dem no get respect again"
Defamation,"The act of making false statements about someone, which can damage their reputation","Yawa wey dey spoil person name, as dem go dey tell lies about am, wey go make people no dey regard am again"
defamation,Making false statements that damage someone's reputation.,To de talk somtin wey no true to spoil person name.
defamation,The action of damaging the good reputation of someone.,To spoil person name / bad-mouth
defamatory,damaging someone’s reputation through false statements.,Defamatory na to use wetin no true spoil how pipu dey see persin.
defamatory,Describing a false statement that is harmful to someone's reputation or character.,na false statement wey dey harm persin reputation or character
defamatory,containing or consisting of false and damaging statements about someone or something,"kontain tori wey no be truth, wey dey spoil person or tin reputation"
defamatory,"(Of remarks, writing, etc.) damaging the good reputation of someone; slanderous or libelous.",Spoil person name / lie-talk
default,"Failure to fulfill an obligation, especially to repay a loan.",When person fail to pay debt / no show for kote
default gui,standard graphical user interface,di normal way
default plotting character,the standard point symbol,di normal way wey e draw
default plotting method,the standard drawing approach,di normal way to draw
default value,a preset option,di default value
default value,preset option,di normal thing
default value,the standard setting,di normal number
default value,standard setting,di normal number
default values,preset options,di normal values
default values for arguments,preset inputs,di normal tins wey function dey take
defaulted,"Failed to fulfill an obligation, especially to repay a loan or appear in a court of law.",Bin fail to pay
defaulting,fail to pay up,Di fail to pay up
defaults,standard settings,di normal settings
defaults,Failure to fulfill an obligation.,No pay as person suppose pay
defeat,Win a victory over.,To beat / win person
defecation,the elimination of fecal waste through the anus,Di elimination of fecal waste through di anus
defect,"A shortcoming, imperfection, or lack.",Fault / damage
defective,Failing to meet required standards or lacking something necessary for proper functioning.,na wen something no meet required standard or no work proper
defective,Imperfect or faulty.,Something wey don spoil / factory error
defects,"Shortcomings, imperfections, or lack.",Mistakes / things wey spoil for inside
defend,To protect from harm or to argue in favor of.,To back person / fight for your right
defendant,person accused in court,Defendant na di person wey dem say do something and dem carry am go court
defendant,A person or party who is accused of or being sued in a court case.,na persin wey court dey accuse or sue for case
defendant,The person accused or sued in a legal case,Di person wey dem accuse or sue for court
defendant,A person or group sued or accused in a court of law.,De person wey dem carry go kote / de one wey dey defend sef
defendants,Plural of defendant; persons sued or accused in kote.,People wey dem carry go court to answer mata
defense,"The argument, evidence, or legal strategy used by a defendant to counter charges or claims.","na argument, evidence, or strategy wey defendant use for counter di charge"
defense,The action of defending from or resisting attack.,To protect sef / to talk your own for kote
defenses,Plural of defense; actions of defending from or resisting attack.,All de yans wey lawyers talk to protect person for kote
defensible,capable of being defended or justified,Defensible na mata wey person fit put him body for.
defensive asylum,Seeking asylum as a defence against removal proceedings already in progress,When person request asylum because dem dey trying to remove dem from the country
deficiency,the state of needing something that is absent or unavailable,Di state of need something wey dey absent or unavailable or unavailable
deficiency,A lack or shortage.,Something dey miss / no reach
deficient,lacking something needed,Deficient na say sometin dey lack.
deficit,The amount by which a sum of money falls short of the required amount.,money short / e no reach
define,to describe or specify,to show
define,"State or describe exactly the nature, scope, or meaning of.",To explain de real meaning / give boundaries
define as a factor,to make categorical,to turn to group
defined,"State or describe exactly the nature, scope, or meaning of.",Wetin dem don explain clear / get meaning
defines,"States or describes exactly the nature, scope, or meaning of.",Explain meaning
definite,Clearly stated or decided; not vague or doubtful.,Clear / sure-fire
definitely,without question and beyond doubt,But without question and beyond doubt
definitely lacks,certainly does not have,really no get
definiteness,the quality of being predictable with great confidence,Di quality of being predictable wit great confidence
definition,the precise meaning of a word,di meaning
definition,a concise explanation of the meaning of a word or phrase or symbol,Di concise explanation of di meaning of word or phrase or symbol or symbol or symbol
definition,"A statement of the exact meaning of a word, especially in a dictionary.",Meaning / clear explanation of wetin word be
definitions,statements of the meaning of a word,wetin word mean
definitions,Statements of the exact meaning of words.,Meaning / explanation
definitive,clearly defined or formulated,Di clearly defined or formulated or formulated
deflationary,associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money,Wey dey associated wit or tend to cause decreases for consumer prices or increase for di purchasing power of money.
deflection,a twist or aberration; especially a perverse or abnormal way of judging or acting,A twist or aberration; especially a perverse or abnormal way of judging or acting; especially a perverse or abnormal way of judging or acting; especially a perverse way of judging or acting; especially a perverse way of judging or acting; especially a perverse way of judging or acting; especially a perverse way of judging or acting; especially a perverse way of judging or acting; especially a perverse or abnormal way of judging or acting
deforestation,"the permanent destruction of forests, usually as a result of deliberate human action such as logging or burning","di way dem dey destroy forest finish, wey no go come back again, maybe na because of how dem dey cut down tree or set fire for am"
deforestation,the state of being clear of trees,Di state of being clear of trees
deforestation,The clearing of forests for agricultural or industrial use,"When forests get cut down for farming, industry or building — causing environmental damage"
deformation,a change for the worse,Di worse change for di worse
defraud,Illegally obtain money from (someone) by deception.,To do wayo for money
degeneracies,the state of being degenerate in mental or moral qualities,Di state of being degenerate for mental or moral qualities
degenerate,a person whose behavior deviates from what is acceptable especially in sexual behavior,Di person wey dey behavior deviates from what dey acceptable especially for sexual behavior
degeneration,gradual worsening or breakdown,Degeneration na say something dey spoil small small.
degradation,loss of quality or value,Degradation mean say di quality of di thing drop
degradation,changing to a lower state (a less respected state),Di change to lower state (a less respected state)
degree,An academic qualification; also a unit of temperature or angle.,Achievement wey person get from skul; e also mean di tin wey dem de use take count temperature or angle for science.
degree,An academic rank conferred by a college or university; a unit of measurement.,Certificate / level of how tin hot reach
degree of belief,strength of certainty,how much you believe
degree of trust,a measurement or level of confidence or faith that someone has in something or someone,"level of konfidence or faith wey person get for sometin or sombody, like how journalists dey believe police for some kontri"
degrees of freedom,the number of independent pieces,di freedom number
Degrees of freedom ,Number of things you can change in a system, how many things you fit adjust inside a system
degrees usually means,the word typically indicates,degrees usually dey mean
degressive,going down by steps,Di steps go down by step
deindustrialization,"The decline of industrial activity in a region, often shifting to service industries",When a region's factories and heavy industries decline and people shift to service jobs
delay differential equation,differential equation that depends on past values of the variable, equation wey need old values to solve am
delegated,Entrusted (a task or responsibility) to another person.,Give anoda person work to do
delegation,A group of representatives.,People wey dem send for message
delete,To permanently remove something from a file or system.,To comot somtin kpata kpata from file or system wey e dey.
delete certain rows or columns,to remove specific parts,to take away some lines or up-downs
deliberate,think about carefully; weigh,We dey think about carefully; weigh am
deliberate,Done consciously and intentionally.,With mind / on purpose
deliberate,done on purpose, when person do something deliberately
deliberate attempt,intentional effort,one try wey you plan
deliberately,intentionally,on purpose
deliberately,with intention; in an intentional manner,For intentional manner; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for intentional manner wit intention; for
deliberately included,intentionally contained,dem put on purpose
delimiters,boundary characters,di signs wey dey separate
delimiters,"characters or symbols that mark the beginning or end of a unit of data, such as a comma or tab in a spreadsheet","karakata wey dey show start or end of data, like komma or tab for spreadsheet, wey dem dey use separate informate"
delineates,clearly explains or describes,Delineates na for something wey person fit talk wella
deliver,"Bring and hand over (a letter, parcel, or goods) to the proper recipient.",To carry something reach owner hand
deliverables,"products or services that are expected to be provided as part of a project or contract, such as reports, documents, or software","tin wey dem suppose provide as part of project or contract, like report, document, or software, wey dem dey call 'deliverables' sef, but for pidgin, we fit talk am as 'wetin dem suppose bring come'"
deliverables,"things that must be provided or achieved as part of a project or task, such as reports, files, or presentations","tin wey dem suppose provide or achieve for project or work, like report, file, or presentation wey dem suppose submit"
deliverables,"things that must be provided or produced as part of a project or task, such as reports, documents, or results","things wey dem suppose provide or bring out from project or work, like report, document, or result wey dem suppose show"
delivered,Brought and handed over to the proper recipient or address.,Something wey dem carry reach de person hand
delivering,Bringing and handing over.,Bringing am / supply
delivery,"The transfer of possession or property from one party to another, completing the performance of a contract or making a document effective.",na wen persin give anoda persin property or tings make contract work done
delivery,"The action of delivering letters, packages, or goods.",To carry something reach owner hand
delivery mechanism,a system or method by which something is delivered or distributed,somethin wey dey carry somethin reach anoda place or somethin wey dey help take somethin give anoda person
deluge,a large and overwhelming amount of something,very big or overwhelming amount of something
