en,pcm,Subject
"white-collar crimes are not typical street crimes, like burglary or robbery, and they are not person crimes, like murder or rape.","Di white collar crimes no dey typical street crimes, like burglary or robbery, and dem no dey person crimes, like murder or rape.",Business study
"rather, the term is used to describe crime committed in the professional work environment, for the purpose of obtaining a financial reward through the use of deception.","Rather, di term na used to describe crime committed inside di professional work environment, for di purpose of obtaining a financial reward through di use of deception.",Business study
"after all, if someone is earning a good salary, or if a business is financially healthy, why would he or she choose to violate the law?","For all, if someone dey earning good salary, or if business dey financially healthy, why e go choose to violate di law?",Business study
"while names like kenneth lay of enron and bernie ebbers of worldcom are virtually synonymous with corporate greed, lack of ethical decision making, and fraudulent behavior, these examples do not provide satisfactory answers to this question.",Dem no provide satisfactory answer to dis question.,Business study
"indeed, businesses must be vigilant against white-collar crime, because there is no absolute way to identify those who might turn to criminal behavior in the workplace.","Di business must dey vigilant against white collar crime, bikos e no dey absolute way to identify those wey dey turn to criminal behavior for di workplace.",Business study
"white-collar crime can involve fraud or larceny, organized crime, cybercrime, and environmental crime.","White-collar crime fit involve fraud or larceny, kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala, cybercrime, plus environmental crime.",Business study
fraud and lar ceny white-collar crimes generally involve the use of deception to acquire money or property.,Fraud plus lar ceny white-collar crimes generally involve di use of deception to acquire money or property.,Business study
this is the very definition of fraud.,This na di well-well definition of fraud.,Business study
many white-collar crimes are versions of fraud.,Na many white collar crimes dey version of fraud.,Business study
"sometimes, white -collar crime involves outright larceny, which is the trespassory taking of property with the intent to deprive the owner ofthe property.","Di white collar crime involves outright larceny, wey dey di trespassory take of property wit di intent to deprive di owner of di property.",Business study
"in both types of white-collar crime, the criminal is trying to take property for his or her own financial gain.",Di criminal dey try to take property for hin or her own financial gain,Business study
fraud is found in many contexts.,Di fraud dey found for many contexts.,Business study
"for instance, many regulatory violations, like insider trading, are forms of fraud.","for example, many regulator ory violations, like insider trading, dey form of fraud.",Business study
"specifically, these are securities fraud.",Dem dey securities fraud.,Business study
securities fraud is when someone uses deception to circumvent the regulations or statutes interpreted by the u. s. securities and exchange commission(sec) to acquire money or property.,Securities fraud na when someone uses deception to circumvent di regulations or statutes interpreted by di u. s. securities plus exchange commission(sec) to acquire money or property.,Business study
"goldman sachs was recently charged by the sec for securities fraud, because it allegedly misrepresented material facts to investors to gain financially.","Di goldman sachs don recently charge di sec for securities fraud, bikos e allegedly misrepresented material facts to investors to gain financially.",Business study
"checkout note 10. 49 ""hyperlink: sec v. goldman sachs""to review the complaint.","Dem to look at note 10. 49 ""hyperlink: sec v. goldman sachs to review di complaint",Business study
"hyperlink: sec v. goldman sachs one of goldman sachs's employees, fabrice tourre, self-named the""fabulous fab,""was also named as a defendant in the complaint.","Di sec v. goldman sachs one of goldman sachs's employees, fabrice tourre, self named di""fabulous fab""na also named as defendant for di complaint.",Business study
"do you think that the fabulous fab should bear criminal liability for misleading investors, even if he did mislead investors?","Do you think wey di fabulous fab suppose bear criminal liability for misleading investors, sef if e did mislead investors?",Business study
a physician who submits false claims to health insurance companies to receive money is a common example.,Di physician wey submit false claims to health insurance companies to receive money na common example.,Business study
"checkout note 10. 51 ""hyperlink: healthcare fraud's epidemic""to see the u. s. department of justice's comments regarding healthcare fraud.","Check comot note 10. 51 ""hyperlink: healthcare fraud's epidemic""to see di u. s. department of justice's comments regarding healthcare fraud.",Business study
"you can see how someone who creates fake patients to receive money has committed fraud, because he or she is using deception(fake patients)to acquire money(medicaid payments).","Dem see how someone wey create fake patients to receive money don commit fraud, bikos hin or she use deception(fake patients)to acquire money(medicaid payments).",Business study
insurance fraud is the use of deception to receive insurance funds.,Insurance fraud na di use of deception to receive insurance funds.,Business study
"for instance, if someone falsely reports that her office was burglarized and her computer equipment was stolen, and asks her insurance company to cover the loss, then this constitutes insurance fraud.","for example, if someone falsely report say her office dey burglarized and her computer equipment dey stolen, and ask her insurance company to cover di loss, then dis const date dey abuse.",Business study
this is because the person is lying(using deception)to acquire an insurance payment(acquiring money).,This na because di person na lying(using deception)to acquire an insurance payment(acquiring money).,Business study
a common context for insurance fraud is arson.,Di common context for insurance fraud dey arson,Business study
"if someone intentionally burns down his office building because he wishes to collect under his fire insurance policy, then he has committed insurance fraud by arson.",E don commit insurance fraud by arson.,Business study
arson is the act of intentionally setting fire to property.,Arson na di act of intentionally setting fire to property.,Business study
"financial institution fraud is fraud against banks and other similar institutions, such as credit unions.","Dem fraud against banks and oda similar institutions, such as credit unions.",Business study
theirs investigates financial institution fraud.,"Di irs investigates A business or organisation wey manage money— like bank, insurance, or investment companies fraud.",Business study
"cases of financial institution fraud can involve people who falsify tax documents, or profit and loss statements to gain funding from banks, as well as those who commit money laundering.","Cases of A business or organisation wey manage money— like bank, insurance, or investment companies fraud fit involve pipo wey falsify tax documents, or profit plus loss statements to gain funding from banks, as well as those wey commit money laundering.",Business study
"checkout note 10. 56 ""hyperlink: financial institution fraud""for several financial institution fraud cases, most of which are excellent examples of white-collar crime.","Di hyperlink: A business or organisation wey manage money— like bank, insurance, or investment companies fraud for several A business or organisation wey manage money— like bank, insurance, or investment companies fraud case, most of which dey excellent example of white collar crime.",Business study
bernie mad off committed massive fraud in a scheme known as a ponzi scheme.,Hinnie mad off committed massive fraud for a scheme wey dey known as ponzi scheme.,Business study
"a ponzi scheme is a pyramid scheme, where people pay in.","Di ponzi scheme dey pyramid scheme, wey pipo pay for",Business study
"those at the top ofthe pyramid may receive something that appears to be a return on their investment, but those at the bottom do not.","Di top of di pyramid don receive something wey dey return on dia investment, but those for di top do no.",Business study
this is because the funds paid in by those at the bottom are used to pay the people at the top.,Di funds wey dem pay for di pipo for di top dey use to pay di pipo for di top.,Business study
"those who operate ponzi schemes generally solicit investors, and those who invest in such schemes are expecting a legitimate return on investment(roi).","Di those wey operate ponzi scheme generally solicit investors, and those wey invest for such scheme dey expect legitimate return on investment(roi).",Business study
"however, the master ofthe ponzi scheme does not really invest the funds.",Di master of di ponzi scheme no dey invest di funds,Business study
"he simply takes them, and keeps his early""investors"" happy by bringing in new investors, whose money he gives to the old investors as their roi.","He simply take dem, and keep hin early""investors"" happy by bring in new investors, wey dem give dem, and keep hin early""investors"" happy by bring in new investors, wey dem give dem, and keep hin early investors as dia roi.",Business study
"this allows the ponzi scheme to continue, because it appears from the outside that investors are receiving a legitimate roi.","Dem allow di ponzi scheme to continue, because dem dey appear from outside wey investors dey receive legitimate roi.",Business study
"the problem is that the capital contributions eventually disappear, since they are never invested but are simply used by the criminal for his own purposes, including covering his tracks for as long as possible by paying investors with fake roi payments as necessary.","Di problem na say di capital contributions eventually disappear, since dem no invest but dey simply use di criminal for hin own purposes, including covering hin track for as long as possible by pay investors wit fake roi payments as necessary.",Business study
"to continue, the pyramid must get bigger and bigger.","To continue, di pyramid must get bigger plus bigger.",Business study
that is because new investors must be attracted to keep the cash flow going.,E dey because new investors must attract new investors to keep di cash flow going,Business study
"eventually, of course, pyramids will eventually collapse under their own unsustainable structure.","For course, pyramids go eventually collapse under dia own unsustainable structure.",Business study
"checkout note 10. 58 ""hyperlink: the mechanics of a pyramid scheme""for an illustration of a pyramid scheme from the sec.",Di mechanics of pyramid scheme for illustration of pyramid scheme from di sec.,Business study
how does someone getaway with this?,How someone getaway wit dis?,Business study
"interestingly, harry markopolos, a financial analyst, fl agged madoff's actions to the sec as statistically impossible long before madoff was caught.","Interestingly, harry markopolos, a financial analyst, fl agged madoff's actions to di sec as statistically impossible long before madoff bin dey caught.",Business study
"checkout note 10. 59 ""hyperlink: too good to be true?",Na too good to be true?,Business study
"statistically impossible returns""to watch mr. markopolos explain this by using sports analogies.",Dem explain dis by using sports analogies.,Business study
this raises interesting legal questions regarding whether the sec is proactive enough.,Di raise interesting legal questions regarding whether di sec dey proactive enough.,Business study
"the sec actions are often reactive, responding to a situation after it happened.","Di sec actions dey often reactive, respond to situation wey dey happen.",Business study
hyperlink: too good to be true?,Hyperlink: too good to be true?,Business study
owners of businesses are also potential victims.,Di owners of business dey also potential victims,Business study
"for example, embezzlement is a common crime, and it occurs when someone takes property that was in his or her possession lawfully and then converts it to his or her own use.","for example, embezzlement dey common crime, and e dey occur wen someone take property wey dey for hin or her possession lawfully and then convert am to hin own use.",Business study
"as you can see, bernie madoff was an embezzler because he lawfully had possession of his clients' money, but then he wrongfully converted those funds to his own use, rather than exercising his fiduciary duty to his clients.","As you see, bernie madoff na embezzler because hin lawfully don possession of hin clients' money, but then hin wrongfully convert those funds to hin own use, no be exercis hin fiduciary duty to hin clients.",Business study
"embezzlement differs from larceny, because larceny requires the trespassory taking of property with the intent to deprive the owner ofthe property.","Di embezzlement differ from larceny, because larceny require di trespassory take of property wit di intent to deprive di owner of di property.",Business study
"in other words, in a larceny, the thief is not supposed to have possession ofthe property to begin with.",Di thief no suppose get possession of di property to begin wit.,Business study
"someone who embezzles something, however, has the right to bein possession ofthe property to start with but then wrongfully converts it(steals it)for his or her own use.","Di someone wey embezzle something, however, get di right to bein possession of di property to start wit but then wrongfully convert am(tiff am)for hin or her own use.",Business study
"embezzlement strategies can involve forgery, which is counterfeiting someone else's signature or other document.","Di embezzlement strategies go involve forgery, wey dey counterfeit someone else's signature or oda document.",Business study
it can also involve wire fraud if the embezzlement uses electronic communications.,Di embezzlement dey use electronic communications,Business study
to learn about many different embezzlement schemes.,E dey learn about many different embezzlement schemes,Business study
corporate espionage and misappropriation are crimes in which a competitor or would-be competitor has acted illegally to obtain trade secrets of another.,Di corporate espionage and misappropriation dey crimes wey a competitor or would-be competitor don act illegally to obtain trade secrets of another.,Business study
the economic espionage act is a federal statute that criminalizes the theft of trade secrets.,Di economic espionage act na federal statute wey criminalize di dift of trade secrets.,Business study
"in a recent case of corporate espionage, starwood hotels sued hilton, claiming that hilton, along with some of its executives, stole millions of dollars in confidential trade secrets that were used to compete with starwood's successful chain of hotels.","Di recent case of corporate espionage, starwood hotels sued hilton, claiming say hilton, along wit some of its executives, stole million of dollars for confidential trade secrets wey dey use to compete wit starwood's successful chain of hotels.",Business study
"organized crime while the term""organized crime""often summons images ofthe mafia, that is not th e only type of organized criminal activity in this country.","Di term ""kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala"" often summons images of di mafia, wey no dey only type of organized criminal activity for dis kontri.",Business study
"consider the recent case against pfizer, which settled with the u. s. department of justice in 2009.","Di recent case wey against pfizer, wey settled wit di u. s. department of justice for 2009.",Business study
"pfizer's subsidiaries, pharmacia and upjohn, had been selling pharmaceuticals""off -label""in doses and for uses not approved by the food and drug administration(fda), and it had been providing kickbacks to physicians to prescribe those drugs.","Di pfizer subsidiaries, pharmacia and upjohn, don sell pharmaceuticals""off -label""for doses and for use no approved by di food and drug administration(fda), and e don provide kickbacks to physicians to prescribe dis drugs.",Business study
the subsidiaries agreed to plead guilty to misbranding with the intent to defraud or mislead.,Di subsidiaries agreed to plead guilty to misbranding with di intent to defraud or mislead.,Business study
they paid a criminal fine of more than one billion dollars and forfeited their profits from their illegal activities.,Dem pay a criminal fine of more than one billion dollars and forfeit dia profit from dia illegal activities.,Business study
"the repercussions of this conviction are certainly felt by those who were without knowledge of these acts, such as the shareholders and many employees, not to mention the patients who were subjected to off-label marketing in the contexts of what otherwise should have been trusting relationships with their physicians.","Di repercussions of dis conviction dey certainly felt by those wey dey without knowledge of dis act, such as di shareholders and many employees, no to mention di patients wey dey subject to off-label marketing for di context of what odawise go trust relationships wit dia physicians",Business study
"the racketeer influenced and corrupt organizations act(rico) is a federal statute that, if violated, can add substantial prison time to a convicted criminal's sentence.","Di racketeer influence and corrupt organization act(rico) na federal statute wey, if violated, fit add substantial prison time to convicted criminal's sentence.",Business study
"even if someone is not per se involved with organized crime, rico charges can be brought against a defendant who has violated th e statute.","If someone no dey per se involved wit kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala, rico charges go dey bring against defendant wey dey violated th e statute.",Business study
"this statute punishes those engaged in a pattern(at least two)of racketeering activities which include a wide range of activities typically associated with organized crime over a ten-year period,[3] when funds from those activities were used to maintain, operate, or acquire a legitimate business.","Di statute punishes those engage for pattern(at least two)of racketeering activities wey include wide range of activities wey dey associated wit kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala over a ten-year period,[3] wen funds from those activities dey use to maintain, operate, or acquire legitimate business.",Business study
"racketeering activities include crimes such as loan -sharking, bookmaking, money laundering, counterfeiting, smuggling, blackmailing, human trafficking, and other similar crimes.","Racketeering activities include crimes such as loan -sharking, bookmaking, money laundering, counterfeiting, smuggling, blackmailing, human trafficking, plus other similar crimes.",Business study
"although rico was written to target traditional organized crime, less than 10 percent of rico cases filed have been against the mafia.","Dem written to target traditional kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala, less than 10 percent of rico case filed don against di mafia.",Business study
"rico is now used against insurance companies, stock brokerages, tobacco companies, banks, and other large commercial enterprises.","Rico na now used against insurance companies, stock brokerages, tobacco companies, banks, plus other large commercial enterprises.",Business study
"rico also has a civil provision allowing a competitor to file rico charges, which come with triple damages if the suit is successful.","Na civil provision allow a competitor to file rico charges, wey kom wit triple damage if di suit dey successful.",Business study
bribery occurs when someone pays a government official to influence the official's decision or actions in his or her official capacity for the benefit ofthe person paying the bribe.,Di bribery occur wen someone pay government official to influence di official decision or actions for hin or her official capacity for di benefit of di person pay di bribe.,Business study
"the foreign corrupt practices act (fcpa) outlaws bribery byu. s. companies doing business in foreign lands, though grease payments are permitted.","Di foreign corrupt practice act (fcpa) outlaws bribery byu. s. companies do business for foreign lands, though grease payments dey permitted.",Business study
"grease payments are payments given to speed up a process that will occur, rather than to influence a decision.","Di grease payments dey payment wey dey given to speed up process wey will occur, no be to influence decision.",Business study
"however, companies should be very careful in relying on the grease payment exception, since such payments are legal under the fcpa only if they are also legal under the laws ofthe country where the grease payments take place, and there are very few jurisdictions(if any)where they are indeed legal.","Dem go careful for relying on di grease payment exception, since dem dey legal under di fcpa only if dem dey legal under di laws of di kontri wey di grease payments take place, and e dey very few jurisdictions(if any dey) wey dem dey legal.",Business study
states also have statutes against bribery.,Di state also don get statutes against bribery.,Business study
"for example, someone who received$10, 000 for criminal activities will need to""clean"" the money to be able to use it legitimately.","for example, someone wey receive$10, 000 for criminal activities go need to""clean"" di money wey dem use legitimately.",Business study
"one way this can be done is by setting up a business that handles alot of cash, which appears to be a legitimate business.","Di one way dis go dey done na by setting up business wey handle alot of cash, which appear to be legitimate business.",Business study
"this business can overstate its earnings by$10, 000 overtime by running the money through its books, thereby ""cleaning""the funds.","Di business don overstate its earnings by$10, 000 overtime by running di money through di books, thereby ""cleaning""di funds.",Business study
"for example, if the business was a tavern, and the tavern grossed$12, 000 per month, the ill-gotten $10, 000 could be spread out over ten months by having the business claim that it grossed$13, 000 each month.","for example, if di business dey tavern, and di tavern gross$12, 000 every month, di ill-gotten $10, 000 go howe dey far over ten months by having di business claim say im gross$13, 000 every month, di ill-gotten $10, 000 each month.",Business study
"in that way, the ten thousand would eventually be ""laundered"" or""cleaned,"" because it will appear to be money received by the legitimate business itself.","Di ten thousand go eventually be ""laundered"" or""cleaned"" bikos e go appear to be money wey di legitimate business deyself.",Business study
"in that example, if someone found out about this money laundering operation and threatened to goto the authorities unless a payment was given to him to keep quiet, then that would be a form of extortion known as blackmail.","If someone to know about dis money laundering operation and threatened to goto di authorities unless payment dey give to him to keep quiet, then dat would be form of extortion wey dey known as blackmail.",Business study
"blackmail occurs when someone threatens to reveal a harmful truth, such as involvement in criminal activity, but agrees to remain silent if paid.","Blackmail occurs when someone threatens to reveal a harmful truth, such as involvement inside criminal activity, but agrees to remain silent if paid.",Business study
extortion is when someone obtains property through coercion.,Di extortion dey when someone get property through coercion.,Business study
"another example of extortion is when a neighborhood gang extracts ""protection payments""from local businesses.","Di example of extortion na wen a neighborhood gang extract ""protection payments""from local businesses.",Business study
"essentially, the gang requires payment from local businesses periodically, and if the business refuses to pay, then the gang injures the business or its owner in some way, such as through vandalism or battery.","Essentially, di gang requires payment from local businesses periodically, plus if di business refuses to pay, then di gang injures di business or its owner inside some way, such as through vandalism or battery.",Business study
"in organized crime cases, there can be strong incentives for people not to do the right thing.",E fit be strong incentives for pipo no do di right thing.,Business study
maybe they are afraid of punishment by the government.,Di goment dey afraid of punishment by di government,Business study
but they may also fear punishment from their organized crime communities.,"Dem also fear punishment from dia kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala communities.",Business study
"in such cases, sometimes people do not tell the truth when they should.",Di eople no tell di truth wen dem go,Business study
"someone who lies under oath, even if he or she thinks there's a good reason to do so, has committed the crime of perjury.","Di someone wey lies under oath, even if she or she think say e dey good reason to do so, don committe di crime of perjury.",Business study
"additionally, such a person might be charged with obstruction of justice, which is acting in a manner that creates obstacles to the administration of justice.","Di person go charge wit obstruction of justice, wey dey acting for manner wey create obstacles to di administration of justice.",Business study
antitrust laws seek to prevent activities that reduce or eliminate economic competition.,Antitrust laws seek to prevent activities wey reduce or eliminate economic competition.,Business study
"agreements""in restraint of trade""are prohibited.","Di agreements""in restraint of trade""dey prohibited",Business study
"criminal convictions have been obtained forbid -rigging contracts for milk for school children, price -fixing for residential doors, and price-fixing for steel wool scouring pads.","Criminal convictions get been obtained forbid -rigging contracts for milk for school children, price -fixing for residential doors, plus price-fixing for steel wool scouring pads.",Business study
for the movie trailer ofthe informant!,Di informant for di movie trailer of di informant,Business study
video clip: who said antitrust is boring?,We tok say antitrust dey boring?,Business study
checkout the movie trailer for the informant!,Check comot di movie trailer for di informant!,Business study
which commodity was being price fixed?,Di commodity dey price fixed?,Business study
"here is part ofthe trailer: congress has addressed antitrust activities through the passage of several major pieces of legislation, though not all carry criminal penalties.","Here na part of di trailer: congress don get addressed antitrust activities through di passage of several major pieces of legislation, though no all carry criminal penalties.",Business study
"specifically, the sherman anti-trust act carries criminal penalties for antitrust violations, but other antitrust laws do not.","Di sherman anti-trust act carry criminal penalties for antitrust violations, but oda antitrust laws no dey.",Business study
cybercr ime cybercrimes are crimes that are committed virtually from a computer or over the internet.,Na crime wey dey committe virtually from a computer or over di internet.,Business study
"these crimes are on the rise, and they include activities like hacking and identity theft.","Di crimes dey rise, and dem include activities like hacking and identity dift.",Business study
cybercrime is abroad term that includes many white-collar crimes.,Di cybercrime dey wide term wey dey include many white collar crimes.,Business study
"cybe rcrime is ubiquitous these days, because virtually every desk has a computer on it.","Di cybe rcrime dey ubiquitous dis days, because virtually every desk don get computer on am",Business study
"these crimes can range from non-white -collar crimes(like possession of child pornography)to traditional white-collar crime, involving the use of deception to acquire money.","These crimes fit range from non-white -collar crimes(like possession of child pornography)to traditional white-collar crime, involving di use of deception to acquire money.",Business study
the computer fraud and abuse act is a federal statute that carries punishments for compromising computers used in interstate commerce or communication.,Di computer fraud and abuse act na federal statute wey carry punishments for compromising computers wey dey used for interstate commerce or communication.,Business study
"it punishes those who access a computer to commit fraud, among other things.","Dem punish those wey access a computer to commit fraud, among oda things.",Business study
"see table 10.1 ""summary of computer fraud and abuse act compromising confidentiality provisions""[6] for a summary ofthe provisions that carry criminal punishments, as well as the statutory sentences.","See table 10.1 ""summary of computer fraud plus abuse act compromising confidentiality provisions""[6] for a summary of di provisions wey carry criminal punishments, as well as di statutory sentences.",Business study
the unauthorized access to stored communications act is a federal statute to protect the confidentiality of e-mail and voicemail.,Di unauthorized access to stored communications act na a federal statute to protect di confidentiality of e-mail plus voicemail.,Business study
"however, this act does not have as broad of a sweep as it might appear from its name.",Di act no get as broad of a sweep as dem suppose appear from its name,Business study
"courts have held that home computers, business computers, and internet service providers(isps) are not""electronic communications devices""that are covered by this act.","Di court don hold say home computers, business computers, and internet service providers(isps) no dey""electronic communications devices"" wey dey covered by dis act.",Business study
"so hacking into an e-mail account provider[7] would be prohibited by this act, but not hacking into a home computer[8] or a business computer.","E-mail account provider[7] go prohibite dis act, but no hacking into home computer[8] or business computer",Business study
identity thieves obtain credit in an otherwise creditworthy person's name.,Di identity thieves dey obtain credit for di odawise creditworthy person name,Business study
t he victim of these crimes can spend hundreds of hours repairing the damage.,Di victim of dis crimes go spend hundreds of hours repair di damage,Business study
this is one ofthe primary reasons why it is very important not to reveal personal information on the internet.,E dey one of di primary reasons wey dem dey important no to reveal personal information on di internet.,Business study
"finally, spamming is now subject to federal regulations, the violations of which are now a federal crime by virtue ofthe can-spam act.","For finally, spamming dey subject to federal regulations, di violations of which dey violations of which dey violate federal crime by virtue of di can-spam act.",Business study
this law serves as the vehicle to prosecute senders of large quantities of unsolicited e-mails if those e-mails do not meet the federal requirements.,Di law serve as di vehicle to prosecute senders of large quantities of unsolicited e-mails if dem no meet di federal requirements.,Business study
"environmental crimes environmental crimes are actions that violate federal or state statutes relating to the environment, which carry criminal sanctions.","Di environmental crimes dey action wey viola federal or state statutes wey dey relating to di environment, wey carry criminal sanctions.",Business study
"the environmental protection agency enforces federal environmental statutes, including those that carry a criminal penalty.","Di environmental protection agency enforce federal environmental statutes, including those wey dey carry criminal penalty.",Business study
"for instance, corporations that illegally dump toxic substances into waterways, illegally harm endangered species or those species' habitats, or trade in illegal substances that have been banned due to their propensity to cause great harm to the environment are all engaged in environmental crimes.","for example, corporations wey illegally dump toxic substances into waterways, illegally harm endangered species or those species' habitats, or trade for illegal substances wey don dey banned due to dia propensity to cause great harm to di environment.",Business study
"u. s. federal environmental statutes that carry criminal penalties include the clean air act; the clean water act; the resource conservation a nd recovery act; the comprehensive environmental response, compensation, and liability act; and the endangered species act.","U. s. federal environmental statutes wey carry criminal penalties include di clean air act; di clean water act; di resource conservation a nd recovery act; di comprehensive environmental response, compensation, and liability act; and di endangered species act.",Business study
"additionally, state environmental law statutes frequently carry criminal penalties aswell.","Additionally, state environmental law statutes frequently carry criminal penalties aswell.",Business study
"recent examples of corporate convictions for environmental crimes can be found in note 10. 84 ""hyperlink: federal environmental criminal convictions"".","Di recent examples of corporate convictions for environmental crimes don find for note 10. 84 ""hyperlink: federal environmental criminal convictions""",Business study
corporate convictions are not uncommon.,Di corporate convictions no dey uncommon.,Business study
"for example, the tulip corporation of new york was convicted for illegally storing lead contaminated materials without a permit.","for example, di tulip corporation of new york bin dey convicted for illegally storing lead contaminated materials without a permit.",Business study
"penalties included a$100, 000 fine and a$25, 000 to buffalo niagara riverkeepers.","Penalties included a$100, 000 fine plus a$25, 000 to buffalo niagara riverkeepers.",Business study
"in another case, mar -cone appliance part co. was convicted of purchasing and selling ozone depleting refrigerant gas, which was illegally smuggled into the united states in violation ofthe clean air act.","Mar-cone appliance part co. dey convicted of purchasing and selling ozone depleting refrigerant gas, wey dey illegally smuggled into di united state for violation of di clean air act.",Business study
"the sentence included a five-year probation for the business, a half-million -dollar criminal fine, and a four- hundred-thousand -dollar payment to a nonprofit organization.","Di sentence included a five-year probation for di business, a half-million -dollar criminal fine, plus a four- hundred-thousand -dollar payment to a nonprofit organization.",Business study
"the company distributed this illegal substance throughout the united states, which was an action condemned as undermining global environmental efforts to reduce ozone damage for personal gain.","Di company distributed this illegal substance throughout di united states, wey bin dey an action condemned as undermining global environmental efforts to reduce ozone damage for personal gain.",Business study
blue-collar crime blue-collar crime is a generic term used to describe crimes that are not white-collar crimes.,Di generic term wey dey use to describe crime wey no dey white collar crime.,Business study
"in business, property crimes(rather than person crimes)are a primary concern.","For business, property crimes(no be person crime)dey primary concern.",Business study
"a property crime is a crime involving damage to property, while a person crime is a crime involving the injury to a person's body.","Di property crime dey crime involving damage to property, while a person crime dey crime involvin di injury to a person's bodi.",Business study
white-collar criminals are not the only ones who commit larceny.,Di only ones wey dey commit larceny.,Business study
"in retail, for instance, primary loss prevention concerns include shoplifting.","Inside retail, for instance, primary loss prevention concerns include shoplifting.",Business study
shoplifting is a serious and prevalent crime.,Di shoplifting na serious and prevalent crime,Business study
"additionally, in any type of business, employee theft is a serious problem.","For any type of business, employee dift dey serious problem.",Business study
"last, vandalism is unauthorized property damage, and any business with ap hysical presence can become the target of vandals.","Di last, vandalism dey unauthorized property damage, and any business wit physical presence go become di target of vandals.",Business study
"white-collar crimes are particularly insidious because white-collar criminals work from the inside, can be difficult to spot since they often hold positions of trust, and use deception as their primary tool.","Di white collar crimes dey particularly insidious because white collar criminals work from inside, dey difficult to spot since dem dey hold position of trust, and use deception as dia primary tool.",Business study
blue-collar crimes also pose substantial risk of loss for businesses.,Blue-collar crimes sef pose substantial risk of loss for businesses.,Business study
"fraud, cybercrime, environmental crime, organized crime, and various forms of property crimes are all serious threats to businesses.","Fraud, cybercrime, environmental crime, kriminal wey dem plan am well-well, dey under one group, dey do bad tins like sell drug, collect money by force, and dey cause wahala, plus various forms of property crimes be all serious threats to businesses.",Business study
"crime carries high personal costs not only to the individuals involved in the misconduct but also to society at large, including the corporations and others who depend on those corporations.",Di corporations and odas wey depend on di corporations and odas wey depend on those corporations.,Business study
"consider the video in note 10. 59 ""hyperlink: too good to be true?","Consider di video inside note 10. 59 ""hyperlink: too good to be true?",Business study
"statistically impossible returns""concerning harry markopolos's use of statistical modeling to identify bernie madoff's ponzi scheme.","Statistically impossible returns""concerning harry markopolos's use of statistical modeling to identify bernie madoff's ponzi scheme.",Business study
what role should statistical analysis and probability modeling have played in ther egulatory environment that could have identified the madoff ponzi scheme disaster earlier?,Di role wey suppose analysis of data and probability modeling don play for di regulatory environment wey could identify di madoff ponzi scheme disaster earlier?,Business study
how can businesses protect themselves from embezzlement?,How fit businesses protect themselves from embezzlement?,Business study
what are some specific strategies that could be devised to ensure that bookkeepers or accountants do not skim money from the business?,Na some specific strategies wey go dey devised to ensure say bookkeepers or accountants no skim money from di business?,Business study
"if you caught an employee stealing one dollar's worth of office supplies, what would you do?","Di employee dey tiff one dollar's worth of office supplies, what would you do?",Business study
what about twenty five dollars' worth of supplies?,What about twenty five dollars' worth of supplies?,Business study
one hundred dollars'?,Na one hundred dollar'?,Business study
should employees be trained not to even take a pencil home?,Dem train employees no to even take pencil home?,Business study
would that type of training be worth the cost ofthe training itself?,Di type of training be worth di cost of di training itself?,Business study
"checkout note 10. 76""video clip: who said antitrust is boring?",We tok say antitrust dey boring?,Business study
to review some ofthe convictions against corporations.,Dem review some of di convictions against corporations.,Business study
are penalties payable to nonprofit environmental organizations appropriate penalties for corporate convictions for environmental crimes?,Be penalties payable to nonprofit environmental organizations appropriate penalties for corporate convictions for environmental crimes?,Business study
explore strategies for businesses to minimize criminal liability.,Explore strategies for businesses to minimize criminal liability.,Business study
examine whistleblower protections.,Dem examine whistleblower protections.,Business study
businesses can engage in affirmative actions to reduce criminal liability.,Dem engage for affirmative action to reduce criminal liability,Business study
"likewise, individuals do not have to sit by passively if they know that criminal activity is afoot.","Di likewise, individuals no fit sit by passively if dem know say criminal activity dey afoot",Business study
"businesses should conduct annual training sessions, such as ethics training, to help ensure good workplace ethics.","Businesses suppose conduct annual training sessions, such as ethics training, to help ensure good workplace ethics.",Business study
"they should develop company-wide codes of ethics, which serve as the organizational commitment to ethical behavior.","Dem suppose develop company-wide kod wey dey guide profesisonal pipo for one particula work or indostri, wey dem suppose follow to do dia work wel, wey serve as di organizational commitment to ethical behavior.",Business study
"this can go far toward developing a corporate culture that values ethical behavior and condemns unethical actions, by providing leadership that serves as positive role models for all employees.","This fit go far toward developing a corporate culture wey values ethical behavior plus condemns unethical actions, by providing leadership wey serves as positive role models for all employees.",Business study
"some companies, such as boeing, have instituted an ethics hotline, which allows employees to anonymously report unethical behavior so that it can be investigated.","Di company, such as boeing, don institut ethics hotline, wey allow employees to anonymously report unathical behavior so say e fit investigate.",Business study
